node_id,cluster_id
1252,0
1250,0
884,0
1251,0
675,0
571,0
262,0
1249,0
257,0
1439,0
1705,1
1701,1
1423,1
1699,1
1134,1
55,1
46,1
20,1
1734,1
1238,2
1172,2
1171,2
682,2
622,2
617,2
276,2
1652,2
1738,3
1178,3
582,3
539,3
513,3
45,3
1724,3
2261,4
1204,4
825,4
579,4
556,4
2262,4
2896,5
97,5
2899,5
10,5
2898,5
1275,6
1274,6
564,6
610,6
1273,6
395,7
149,7
145,7
2370,7
962,7
2649,8
2238,8
689,8
540,8
2978,8
1269,9
1271,9
1270,9
1272,9
1205,10
816,10
1061,10
1576,10
3453,11
1476,11
590,11
3045,11
1721,12
1733,12
1720,12
2989,12
1363,13
2857,13
2346,13
2858,13
2829,14
1958,14
3407,14
3438,15
1365,15
3050,15
3629,16
1053,16
3627,16
3214,17
2753,17
3215,17
3605,18
3606,18
3604,18
2817,19
2260,19
3526,19
2239,20
665,20
2935,20
2950,21
9,21
2589,21
3678,22
3077,22
3677,22
1214,23
303,23
3061,23
3041,24
976,24
2709,24
1622,25
550,25
1914,25
704,26
6,26
2321,26
3266,27
3265,27
3350,27
2447,28
2357,28
3283,28
