Size = 0, freq = 0, total vertices = 0
Size = 1, freq = 0, total vertices = 0
Size = 2, freq = 4, total vertices = 8
Size = 3, freq = 0, total vertices = 0
Size = 4, freq = 0, total vertices = 0
Size = 5, freq = 0, total vertices = 0
Size = 6, freq = 0, total vertices = 0
Size = 7, freq = 0, total vertices = 0
Size = 8, freq = 0, total vertices = 0
Size = 9, freq = 0, total vertices = 0
Size = 10, freq = 0, total vertices = 0
Size = 11, freq = 0, total vertices = 0
Size = 12, freq = 0, total vertices = 0
Size = 13, freq = 0, total vertices = 0
Size = 14, freq = 0, total vertices = 0
Size = 15, freq = 0, total vertices = 0
Size = 16, freq = 0, total vertices = 0
Size = 17, freq = 0, total vertices = 0
Size = 18, freq = 0, total vertices = 0
Size = 19, freq = 0, total vertices = 0
Size = 20, freq = 0, total vertices = 0
Size = 21, freq = 0, total vertices = 0
Size = 22, freq = 0, total vertices = 0
Size = 23, freq = 0, total vertices = 0
Size = 24, freq = 0, total vertices = 0
Size = 25, freq = 0, total vertices = 0
Size = 26, freq = 0, total vertices = 0
Size = 27, freq = 0, total vertices = 0
Size = 28, freq = 0, total vertices = 0
Size = 29, freq = 0, total vertices = 0
Size = 30, freq = 0, total vertices = 0
Size = 31, freq = 0, total vertices = 0
Size = 32, freq = 0, total vertices = 0
Size = 33, freq = 0, total vertices = 0
Size = 34, freq = 0, total vertices = 0
Size = 35, freq = 0, total vertices = 0
Size = 36, freq = 0, total vertices = 0
Size = 37, freq = 0, total vertices = 0
Size = 38, freq = 0, total vertices = 0
Size = 39, freq = 0, total vertices = 0
Size = 40, freq = 0, total vertices = 0
Size = 41, freq = 0, total vertices = 0
Size = 42, freq = 0, total vertices = 0
Size = 43, freq = 0, total vertices = 0
Size = 44, freq = 0, total vertices = 0
Size = 45, freq = 0, total vertices = 0
Size = 46, freq = 0, total vertices = 0
Size = 47, freq = 0, total vertices = 0
Size = 48, freq = 0, total vertices = 0
Size = 49, freq = 0, total vertices = 0
Size = 50, freq = 0, total vertices = 0
Size = 51, freq = 0, total vertices = 0
Size = 52, freq = 0, total vertices = 0
Size = 53, freq = 0, total vertices = 0
Size = 54, freq = 0, total vertices = 0
Size = 55, freq = 0, total vertices = 0
Size = 56, freq = 0, total vertices = 0
Size = 57, freq = 0, total vertices = 0
Size = 58, freq = 0, total vertices = 0
Size = 59, freq = 0, total vertices = 0
Size = 60, freq = 0, total vertices = 0
Size = 61, freq = 0, total vertices = 0
Size = 62, freq = 0, total vertices = 0
Size = 63, freq = 0, total vertices = 0
Size = 64, freq = 0, total vertices = 0
Size = 65, freq = 0, total vertices = 0
Size = 66, freq = 0, total vertices = 0
Size = 67, freq = 0, total vertices = 0
Size = 68, freq = 0, total vertices = 0
Size = 69, freq = 0, total vertices = 0
Size = 70, freq = 0, total vertices = 0
Size = 71, freq = 0, total vertices = 0
Size = 72, freq = 0, total vertices = 0
Size = 73, freq = 0, total vertices = 0
Size = 74, freq = 0, total vertices = 0
Size = 75, freq = 0, total vertices = 0
Size = 76, freq = 0, total vertices = 0
Size = 77, freq = 0, total vertices = 0
Size = 78, freq = 0, total vertices = 0
Size = 79, freq = 0, total vertices = 0
Size = 80, freq = 0, total vertices = 0
Size = 81, freq = 0, total vertices = 0
Size = 82, freq = 0, total vertices = 0
Size = 83, freq = 0, total vertices = 0
Size = 84, freq = 0, total vertices = 0
Size = 85, freq = 0, total vertices = 0
Size = 86, freq = 0, total vertices = 0
Size = 87, freq = 0, total vertices = 0
Size = 88, freq = 0, total vertices = 0
Size = 89, freq = 0, total vertices = 0
Size = 90, freq = 0, total vertices = 0
Size = 91, freq = 0, total vertices = 0
Size = 92, freq = 0, total vertices = 0
Size = 93, freq = 0, total vertices = 0
Size = 94, freq = 0, total vertices = 0
Size = 95, freq = 0, total vertices = 0
Size = 96, freq = 0, total vertices = 0
Size = 97, freq = 0, total vertices = 0
Size = 98, freq = 0, total vertices = 0
Size = 99, freq = 0, total vertices = 0
Size = 100, freq = 0, total vertices = 0
Size = 101, freq = 0, total vertices = 0
Size = 102, freq = 0, total vertices = 0
Size = 103, freq = 0, total vertices = 0
Size = 104, freq = 0, total vertices = 0
Size = 105, freq = 0, total vertices = 0
Size = 106, freq = 0, total vertices = 0
Size = 107, freq = 0, total vertices = 0
Size = 108, freq = 0, total vertices = 0
Size = 109, freq = 0, total vertices = 0
Size = 110, freq = 0, total vertices = 0
Size = 111, freq = 0, total vertices = 0
Size = 112, freq = 0, total vertices = 0
Size = 113, freq = 0, total vertices = 0
Size = 114, freq = 0, total vertices = 0
Size = 115, freq = 0, total vertices = 0
Size = 116, freq = 0, total vertices = 0
Size = 117, freq = 0, total vertices = 0
Size = 118, freq = 0, total vertices = 0
Size = 119, freq = 0, total vertices = 0
Size = 120, freq = 0, total vertices = 0
Size = 121, freq = 0, total vertices = 0
Size = 122, freq = 0, total vertices = 0
Size = 123, freq = 0, total vertices = 0
Size = 124, freq = 0, total vertices = 0
Size = 125, freq = 0, total vertices = 0
Size = 126, freq = 0, total vertices = 0
Size = 127, freq = 0, total vertices = 0
Size = 128, freq = 0, total vertices = 0
Size = 129, freq = 0, total vertices = 0
Size = 130, freq = 0, total vertices = 0
Size = 131, freq = 0, total vertices = 0
Size = 132, freq = 0, total vertices = 0
Size = 133, freq = 0, total vertices = 0
Size = 134, freq = 0, total vertices = 0
Size = 135, freq = 0, total vertices = 0
Size = 136, freq = 0, total vertices = 0
Size = 137, freq = 0, total vertices = 0
Size = 138, freq = 0, total vertices = 0
Size = 139, freq = 0, total vertices = 0
Size = 140, freq = 0, total vertices = 0
Size = 141, freq = 0, total vertices = 0
Size = 142, freq = 0, total vertices = 0
Size = 143, freq = 0, total vertices = 0
Size = 144, freq = 0, total vertices = 0
Size = 145, freq = 0, total vertices = 0
Size = 146, freq = 0, total vertices = 0
Size = 147, freq = 0, total vertices = 0
Size = 148, freq = 0, total vertices = 0
Size = 149, freq = 0, total vertices = 0
Size = 150, freq = 0, total vertices = 0
Size = 151, freq = 0, total vertices = 0
Size = 152, freq = 0, total vertices = 0
Size = 153, freq = 0, total vertices = 0
Size = 154, freq = 0, total vertices = 0
Size = 155, freq = 0, total vertices = 0
Size = 156, freq = 0, total vertices = 0
Size = 157, freq = 0, total vertices = 0
Size = 158, freq = 0, total vertices = 0
Size = 159, freq = 0, total vertices = 0
