node_id,cluster_id
0,3
1,3
399,3
400,3
401,3
402,0
403,3
404,3
405,3
406,3
407,3
408,3
409,8
410,1
411,3
412,3
413,3
414,3
415,6
416,3
417,3
418,3
419,1
420,3
421,3
422,1
423,3
424,3
425,3
426,3
427,6
428,1
429,3
430,3
431,3
432,3
433,3
434,3
435,3
436,3
437,3
438,3
439,6
440,3
441,1
442,3
443,3
444,3
445,3
446,3
447,3
448,3
449,3
450,2
451,1
452,9
453,3
454,3
455,6
456,3
457,3
458,3
459,8
460,3
461,3
462,3
463,3
464,3
465,2
466,3
467,3
468,3
469,3
470,3
471,3
472,3
473,3
474,2
475,3
476,2
477,3
478,3
479,3
480,2
481,3
482,3
483,3
484,3
485,3
486,3
487,3
488,3
489,3
490,3
491,3
492,3
493,3
494,3
495,3
496,3
497,3
498,3
499,3
500,3
501,3
502,0
503,3
504,3
505,3
506,4
507,4
508,3
509,2
510,4
511,0
2,1
1016,1
753,1
3,1
850,1
89,1
4,3
5,3
6,2
7,3
1907,3
8,1
715,1
731,1
1162,2
349,0
542,2
675,2
864,10
2644,1
1214,8
735,1
174,1
2645,1
2646,1
689,10
2298,1
1134,5
987,0
684,1
799,2
2647,1
709,1
1527,0
2648,1
244,2
1659,2
1251,2
1267,2
2649,10
1239,2
2001,1
9,1
10,3
2898,3
11,4
2618,4
2619,4
12,3
13,2
14,2
634,0
1562,2
15,1
816,1
3246,4
16,3
17,3
18,1
19,3
20,1
564,2
541,1
55,5
1791,5
1512,2
1296,2
574,2
264,2
261,2
1133,5
701,0
1025,1
2603,1
1380,7
21,0
2156,0
886,4
2157,1
521,2
968,4
637,0
524,2
1442,4
2158,0
22,1
1012,1
23,1
24,3
25,1
26,6
27,3
28,3
29,7
30,2
943,0
617,5
1925,2
373,4
586,1
625,2
579,0
522,2
540,2
1238,2
588,2
31,3
32,3
33,8
34,3
35,3
45,5
36,3
37,3
43,2
1908,3
38,3
2381,3
958,2
2382,3
1259,2
39,1
2740,1
2741,1
609,1
40,1
793,1
41,3
1876,3
42,7
547,7
768,2
135,2
616,1
366,4
82,2
1549,2
1550,1
548,1
1107,6
1551,2
1552,2
544,0
1553,2
626,2
910,2
1554,2
1555,2
1437,2
1556,2
1557,1
878,1
757,1
1228,2
1558,4
1559,0
704,2
1560,9
1561,2
1563,0
44,2
681,2
1793,5
2139,5
1709,5
2140,5
1189,2
1806,2
1032,5
46,5
711,7
682,6
1745,5
1746,5
1747,5
1748,5
1749,5
1750,5
1751,5
1752,5
1753,5
1754,5
1755,5
1756,5
1757,5
1758,5
1759,5
1760,5
1761,5
1762,5
1763,5
1764,5
1765,5
1766,5
1767,5
1768,5
1769,5
1770,5
262,2
1771,5
1772,5
1773,5
1428,0
1774,5
1775,5
1776,5
1777,5
1778,5
1779,5
1780,5
1781,5
1782,5
1783,5
1784,5
1785,5
1786,5
1787,5
1788,5
1789,5
767,5
1790,5
1792,5
1794,5
1795,5
1427,2
673,0
532,0
1796,5
1797,5
1798,5
1799,5
1800,5
1801,5
1802,5
1803,5
1804,5
1805,2
529,2
1316,5
1807,4
677,0
133,2
1808,4
1809,5
698,0
674,5
50,2
1388,2
1387,2
47,3
48,0
1818,0
989,0
49,0
676,0
678,0
679,0
680,2
683,0
685,0
686,0
687,1
688,0
690,1
691,1
692,2
693,0
694,17
695,0
696,0
697,0
699,0
700,0
702,10
703,10
914,0
1844,2
656,0
1325,2
601,0
1359,0
51,0
557,4
1394,4
2246,4
2065,0
52,3
53,8
1501,8
536,0
1502,8
635,4
592,0
1503,8
1504,10
1505,0
305,2
1506,8
359,8
54,3
538,0
534,0
75,0
1698,5
531,0
140,0
2769,5
2550,4
672,0
2770,5
759,5
1733,5
1877,7
56,3
57,4
58,1
59,4
60,1
61,3
62,1
884,2
63,3
64,3
65,1
66,3
67,4
68,2
113,2
3220,0
69,5
70,2
556,2
1002,0
197,2
1870,2
71,0
72,3
149,0
2174,3
281,3
2175,10
2176,3
2177,3
2178,3
2179,3
290,3
2180,3
590,2
124,3
1699,5
2125,3
1959,3
2181,3
73,3
74,0
3067,0
2566,0
76,3
77,3
78,3
79,1
563,1
284,1
276,1
610,2
1034,1
545,5
784,1
2396,1
1043,1
1018,2
585,6
1248,1
584,5
1069,1
80,5
769,1
1542,2
1026,1
728,1
2397,1
570,1
238,1
838,1
2398,1
2399,1
1080,1
1086,1
1087,1
1085,1
1084,1
2654,5
1712,5
2437,5
583,5
2655,5
604,5
81,1
2918,2
839,2
83,8
84,1
85,1
86,3
87,3
88,1
90,3
91,3
92,1
1328,7
93,3
94,1
95,1
96,0
2133,9
2129,9
97,3
98,1
99,8
100,1
101,1
102,1
103,3
104,4
1939,4
105,1
106,1
107,1
108,3
109,9
110,3
111,3
112,3
114,3
115,2
116,3
117,1
2757,4
2631,6
1261,2
2758,10
118,3
119,7
120,2
121,2
1244,2
122,3
123,1
125,3
126,2
1679,0
127,4
1446,4
589,2
128,3
129,2
2012,1
1477,2
329,2
1475,2
1997,2
130,3
131,2
132,3
562,1
535,0
528,2
520,2
3697,2
2625,0
134,2
2433,5
1426,2
1429,2
1430,2
1431,4
1118,2
1243,2
1432,3
1433,4
1434,2
1435,2
1436,2
1074,1
713,1
1438,4
1249,2
1250,2
1439,2
1440,3
1441,2
136,0
137,0
138,3
139,2
612,1
543,0
887,2
568,0
1960,0
1961,0
996,2
551,0
572,2
1962,2
1963,2
636,1
1964,1
1358,6
876,9
622,2
1965,4
879,2
1966,0
1536,2
1967,2
1968,1
1093,4
973,0
1270,2
1274,2
1275,2
1535,2
1419,0
1923,0
141,3
142,3
143,3
144,0
145,3
3426,4
146,0
527,0
147,3
148,0
997,0
998,0
999,0
1000,0
1001,0
1003,1
1004,0
1005,0
1006,0
150,0
151,3
152,3
153,1
1230,1
154,1
802,1
155,3
156,3
157,5
1701,5
1178,5
1423,5
2434,5
158,3
159,1
160,1
161,1
162,2
163,3
164,3
165,1
1094,1
166,3
167,1
168,3
169,1
170,3
171,1
172,3
173,3
2094,2
2621,0
629,0
175,3
1271,2
176,7
815,7
177,3
178,1
270,2
179,3
180,3
181,1
182,3
183,1
184,1
185,1
186,7
187,1
188,3
189,1
190,3
191,1
192,1
193,3
194,3
195,1
196,3
198,3
199,3
200,3
201,7
202,1
203,3
204,6
205,3
206,3
207,1
208,3
209,1
210,3
211,3
212,3
213,3
214,3
215,1
216,1
217,3
218,1
219,3
220,3
221,1
706,1
2952,1
725,1
1868,4
2953,1
2513,0
222,3
223,1
224,3
225,2
226,3
227,7
228,3
229,1
230,3
3758,3
231,1
232,3
233,3
234,3
235,3
236,2
762,1
237,3
558,0
239,3
240,3
241,6
242,9
243,7
2312,0
1213,1
2200,0
245,3
246,3
247,7
248,3
249,3
250,6
251,3
252,7
3614,7
3725,7
253,1
254,1
853,1
255,3
256,6
1653,6
814,6
257,6
277,6
2474,6
1252,2
1158,0
258,1
2732,2
259,1
260,3
857,1
1738,5
822,2
360,2
550,5
1031,1
3245,2
2478,2
3374,3
