source,target,weight
0,1,1
1,4,1
1,5,1
1,7,0.5
1,8,0.666667
1,10,0.5
1,12,1
1,16,1
1,17,1
1,19,1
1,20,0.5
1,21,0.666667
1,24,1
1,27,0.5
1,28,1
1,30,0.666667
1,31,1
1,32,0.5
1,34,1
1,35,0.5
1,36,1
1,39,0.5
1,41,0.5
1,43,0.666667
1,46,0.666667
1,47,1
1,49,0.666667
1,50,0.666667
1,52,1
1,53,0.666667
1,54,1
1,56,1
1,61,0.5
1,63,0.5
1,64,1
1,66,1
1,70,0.666667
1,72,0.666667
1,73,1
1,76,1
1,77,1
1,78,0.5
1,79,0.666667
1,80,0.5
1,86,1
1,87,1
1,90,1
1,91,1
1,93,1
1,97,0.5
1,103,1
1,108,0.5
1,110,1
1,111,1
1,112,1
1,114,1
1,115,0.666667
1,116,1
1,117,0.666667
1,118,1
1,122,1
1,124,1
1,125,1
1,128,1
1,129,0.666667
1,130,1
1,131,0.5
1,132,1
1,133,0.666667
1,135,0.666667
1,136,0.666667
1,138,1
1,139,0.666667
1,141,0.5
1,142,1
1,143,1
1,145,0.5
1,147,0.5
1,149,0.666667
1,151,1
1,152,1
1,154,0.5
1,155,0.5
1,156,1
1,158,1
1,163,1
1,164,1
1,166,0.5
1,168,1
1,170,1
1,172,1
1,173,0.5
1,174,0.666667
1,175,0.5
1,177,1
1,179,1
1,180,1
1,182,1
1,188,0.5
1,190,1
1,193,0.5
1,194,1
1,195,0.5
1,196,1
1,198,1
1,199,1
1,200,1
1,203,1
1,205,1
1,206,1
1,208,1
1,210,1
1,211,1
1,212,1
1,213,1
1,214,1
1,217,1
1,219,1
1,220,1
1,221,0.666667
1,222,1
1,224,1
1,226,1
1,228,1
1,230,0.5
1,232,1
1,233,1
1,234,1
1,235,1
1,237,1
1,238,0.5
1,239,0.5
1,240,1
1,244,0.666667
1,245,1
1,246,0.5
1,248,1
1,249,0.5
1,251,1
1,255,1
1,258,0.666667
1,260,1
1,261,0.666667
1,266,1
1,269,0.666667
1,273,1
1,274,1
1,276,0.666667
1,278,0.5
1,279,1
1,280,1
1,281,0.5
1,284,0.666667
1,286,1
1,287,0.5
1,288,1
1,289,1
1,290,0.5
1,292,1
1,293,1
1,294,0.5
1,295,1
1,296,0.5
1,297,0.5
1,298,0.5
1,299,1
1,300,0.5
1,304,0.5
1,306,0.5
1,307,0.5
1,308,0.5
1,309,0.5
1,310,1
1,311,1
1,314,1
1,318,1
1,319,1
1,321,1
1,322,1
1,323,1
1,324,0.5
1,325,1
1,326,1
1,327,1
1,330,0.5
1,331,0.5
1,333,1
1,335,1
1,336,1
1,340,1
1,341,1
1,343,1
1,344,1
1,349,0.666667
1,352,1
1,353,1
1,354,1
1,357,1
1,363,1
1,364,1
1,365,1
1,367,0.5
1,368,1
1,369,1
1,370,1
1,371,0.5
1,372,0.5
1,373,0.666667
1,374,1
1,375,0.5
1,376,1
1,377,0.5
1,378,1
1,380,0.5
1,382,1
1,384,0.5
1,387,0.5
1,390,1
1,392,1
1,393,0.5
1,395,0.5
1,397,1
1,398,0.5
1,399,1
1,400,1
1,401,1
1,403,1
1,404,1
1,405,1
1,406,1
1,407,1
1,408,1
1,411,1
1,412,1
1,413,1
1,414,1
1,416,1
1,417,1
1,418,1
1,420,1
1,421,1
1,423,1
1,424,1
1,425,1
1,426,1
1,429,1
1,430,1
1,431,0.5
1,432,1
1,433,1
1,434,0.5
1,435,1
1,436,1
1,437,1
1,438,1
1,440,1
1,442,1
1,443,1
1,444,1
1,445,1
1,446,1
1,447,1
1,448,1
1,449,1
1,453,1
1,454,1
1,456,1
1,457,1
1,458,1
1,460,1
1,461,1
1,462,1
1,463,1
1,464,1
1,466,1
1,467,1
1,468,1
1,469,1
1,470,1
1,471,1
1,472,1
1,473,1
1,475,1
1,477,1
1,478,1
1,479,1
1,481,1
1,482,1
1,483,1
1,484,1
1,485,1
1,486,1
1,487,1
1,488,1
1,489,1
1,490,1
1,491,1
1,492,1
1,493,1
1,494,1
1,495,1
1,496,1
1,497,1
1,498,1
1,499,1
1,500,1
1,501,1
1,503,1
1,504,1
1,505,1
1,508,1
2,192,0.5
2,215,0.5
2,753,1
2,757,0.5
2,1016,0.5
2,1143,1
2,3320,1
3,8,1
3,89,1
3,850,1
6,624,0.5
6,704,1
6,1222,0.5
6,2321,1
7,37,0.5
7,38,0.5
7,215,0.5
7,1630,0.5
7,1688,0.5
7,1907,0.5
7,1959,1
7,2922,1
8,43,0.666667
8,46,0.666667
8,49,0.666667
8,58,0.5
8,79,1
8,80,0.5
8,117,1
8,136,0.666667
8,149,0.666667
8,161,0.5
8,174,1
8,221,1
8,244,0.666667
8,254,0.5
8,269,0.666667
8,276,1
8,284,1
8,349,0.666667
8,451,0.5
8,514,1
8,515,0.666667
8,529,0.666667
8,535,0.666667
8,540,0.666667
8,541,1
8,542,0.666667
8,547,0.666667
8,548,0.5
8,562,1
8,563,1
8,564,0.666667
8,570,1
8,571,1
8,584,0.666667
8,586,0.5
8,610,0.666667
8,616,1
8,617,0.666667
8,624,0.666667
8,636,0.5
8,675,0.666667
8,682,0.666667
8,684,1
8,687,1
8,689,0.666667
8,690,1
8,706,1
8,709,1
8,711,0.666667
8,713,0.5
8,715,1
8,718,1
8,731,1
8,732,1
8,735,1
8,743,1
8,769,1
8,774,1
8,784,1
8,800,0.5
8,810,0.5
8,831,1
8,839,0.5
8,843,1
8,853,1
8,862,0.5
8,876,0.666667
8,884,0.666667
8,953,0.5
8,1008,1
8,1023,0.5
8,1026,1
8,1043,1
8,1119,0.5
8,1162,0.666667
8,1185,0.5
8,1190,1
8,1213,0.5
8,1230,0.5
8,1247,0.5
8,1279,1
8,1398,0.5
8,1460,0.5
8,1471,0.5
8,1482,1
8,1525,0.5
8,1911,0.5
8,1955,0.5
8,2000,0.5
8,2001,1
8,2118,1
8,2298,1
8,2335,0.5
8,2597,1
8,2638,0.5
8,2640,1
8,2641,0.5
8,2642,1
8,2643,1
8,2644,1
