node_id,cluster_id
0,38
391,38
1945,38
1698,38
2,97
411,0
1873,97
10,0
868,0
1439,0
826,0
11,0
1962,0
1585,39
456,0
1668,97
1791,0
1257,97
510,0
1628,0
573,0
2005,0
119,0
1618,0
277,0
1429,0
689,0
418,0
979,0
557,0
555,0
1401,0
1838,0
1190,0
242,0
265,0
1669,0
1717,0
118,0
1080,0
63,0
1844,0
1875,0
1010,0
1277,0
1072,0
1213,0
1286,0
315,0
1485,0
1662,0
1099,0
1832,0
1586,0
13,0
998,97
1986,0
328,0
851,0
271,0
1500,0
216,0
584,0
24,0
1521,0
1893,0
1466,0
816,0
23,0
409,0
1742,0
1433,0
1178,0
202,39
1322,0
452,97
1018,0
889,0
305,0
1575,0
640,0
46,0
1240,0
793,0
164,0
1975,0
1368,0
1767,97
1268,0
1660,39
1790,0
1935,0
343,0
1083,0
167,0
1330,0
604,0
535,40
1672,40
872,0
598,0
902,0
736,0
954,0
107,0
840,0
1941,0
1549,39
195,0
1408,0
938,0
44,0
1531,0
1290,0
1294,0
1452,0
217,0
1961,0
520,0
1577,0
1128,0
722,0
1994,0
402,0
410,0
716,0
91,0
1238,0
1853,0
1877,0
1997,0
649,0
1431,0
963,0
1781,0
338,0
1063,0
1596,0
1607,0
279,0
1193,0
960,0
1379,0
135,0
73,0
1579,0
14,39
1207,39
349,39
731,39
1973,0
1898,0
22,97
1769,0
25,97
629,39
1143,0
33,0
34,39
92,39
322,39
1705,97
36,43
1620,43
37,39
992,39
38,39
382,0
41,97
43,35
387,35
890,35
1974,35
347,35
1041,35
1597,35
1914,35
1964,35
1749,35
1527,35
363,35
1136,35
1548,39
667,0
50,45
1892,45
750,45
2002,45
53,37
1372,37
732,37
1985,37
2003,37
561,37
55,39
690,39
701,39
56,97
154,0
1079,0
1918,0
332,0
65,39
221,39
848,39
70,38
1711,38
74,97
176,0
75,39
247,39
79,39
1158,39
1376,39
1305,39
429,39
990,39
245,39
1057,39
1392,39
1423,39
83,39
1996,39
1766,0
361,39
534,39
89,0
478,0
712,39
866,0
90,35
1689,35
150,39
95,39
737,39
183,39
238,39
652,39
1902,39
964,0
96,97
1276,0
103,0
449,0
462,0
863,0
1753,39
1546,39
1279,39
619,39
898,39
104,0
