node_id,value
0,2.12311
391,2.12299
1945,2.12299
1698,2.12299
2,1
411,40.3212
1873,2.57179
10,37
868,40.3211
1439,40.3212
826,40.3212
11,40.3212
1962,40.3212
1585,6.53876
456,40.3212
1668,2.57091
1791,40.3212
1257,2.57101
510,40.3212
1628,40.3211
573,40.3212
2005,40.3212
119,40.3212
1618,40.3211
277,40.3211
1429,40.3212
689,40.3212
418,40.3212
979,40.3212
557,40.3212
555,40.3212
1401,40.3212
1838,40.3212
1190,40.3212
242,38
265,40.3212
1669,40.3212
1717,40.3212
118,40.3211
1080,40.3212
63,40.3212
1844,40.3212
1875,39.0018
1010,40.3212
1277,40.3212
1072,40.3212
1213,40.3211
1286,40.3211
315,38.9982
1485,40.3211
1662,40.3212
1099,38
1832,40.3212
1586,40.3212
13,40.3212
998,2.57138
1986,40.3212
328,40.3212
851,40.3212
271,40.3212
1500,40.3212
216,40.3212
584,40.3212
24,40.3212
1521,40.3212
1893,40.3212
1466,40.3212
816,40.3212
23,40.3212
409,40.3212
1742,40.3212
1433,40.3212
1178,40.3212
202,6.53851
1322,40.3212
452,2.57289
1018,40.3212
889,40.3212
305,40.3212
1575,40.3212
640,40.3212
46,40.3212
1240,40.3212
793,40.3212
164,40.3212
1975,40.3212
1368,40.3212
1767,2.57151
1268,40.3213
1660,3
1790,40.3213
1935,40.3213
343,40.3213
1083,40.3213
167,40.3213
1330,40.3213
604,40.3213
535,2.66693
1672,2.66653
872,40.3213
598,40.3213
1505,2
902,40.3213
736,40.3213
954,40.3213
107,40.3213
840,40.3213
1941,40.3213
1549,6.54288
195,40.3213
1408,40.3213
938,40.3213
44,40.3213
1531,40.3213
1290,40.3213
1294,40.3213
1452,40.3213
217,40.3213
1961,40.3211
520,40.3213
1577,40.3213
1128,40.3213
722,40.3213
1994,40.3213
402,40.3213
410,40.3212
716,40.3213
91,40.3213
1238,40.3213
1853,40.3213
1877,40.3212
1997,40.3213
649,40.3213
1431,40.3213
963,40.3213
1781,40.3213
338,40.3213
1063,40.3213
1596,40.3213
1607,40.3213
279,40.3213
1193,40.3213
960,40.3213
1379,40.3213
135,40.3213
73,40.3213
1579,40.3213
14,6.53645
1207,5
349,6.53741
731,6.53813
20,3
1973,40.3213
1898,26
22,1
1769,31
25,1
29,1
629,5.99983
30,2
1143,40.3212
33,23.5004
34,5
92,6
322,5
1705,2.57051
36,2
1620,2
37,2
992,6.00497
38,2
382,40.3211
41,1
43,14.4444
387,14.4444
890,14.4444
1974,14.4444
347,14.4444
1041,14.4444
1597,14.4445
1914,14.4445
1964,14.4445
1749,14.4445
1527,14.4444
363,14.4445
1136,14.4445
1548,2.50066
667,40.3211
1109,2
50,1.5
1892,1.5
750,1.5
2002,1.5
53,9.49998
1372,9.49998
732,9.49998
1985,9.49998
2003,9.49998
561,9.49998
55,4.25265
690,6.54454
701,6.5418
56,1
59,1
154,40.3212
1079,40.3212
1918,40.3211
332,40.3212
65,2.5
221,2.5
848,2.5
70,2.12918
1711,2.12918
74,1
176,40.0008
75,4.75285
247,4.74726
79,6.54376
1158,6.54357
1376,6.50137
1305,6.49863
429,5.99469
990,6.54454
245,6.54483
1057,6.54351
1392,6.54503
1423,6
83,6.53701
1996,5
1766,40.3212
361,6.53782
534,6.53674
89,34
478,40.3212
712,6.54215
866,40.3211
90,14.4444
1689,14.4445
150,6.53912
95,4.25039
737,4.24936
183,4.24936
238,4.24936
652,4.24936
1902,4.25017
964,40.3211
96,1
1276,40.3211
103,40.3212
449,40.3211
462,36.001
863,35.999
1753,4.33066
1546,5
1279,3
619,3.9998
898,5
104,28.9987
1051,36.3395
108,39.9992
1815,40.3211
682,16
110,9.49998
1951,6.54406
1972,9.49998
1792,9.49998
188,9.49998
1871,9.49998
668,9.49998
377,9.49998
