node_id,cluster_id
0,352
391,352
1945,352
1698,352
411,0
1873,0
10,370
868,0
1439,0
826,0
11,0
1962,0
1585,0
456,0
1668,0
1791,0
1257,0
510,0
1628,0
573,0
2005,0
119,0
1618,0
277,0
1429,0
689,0
418,0
979,0
557,0
555,0
1401,0
1838,0
1190,0
265,0
1669,0
1717,0
118,0
1080,0
63,0
1844,0
1875,306
1010,0
1277,0
1072,0
1213,0
1286,0
315,371
1485,0
1662,0
1832,0
1586,0
13,0
998,0
1986,0
328,0
851,0
271,0
1500,0
216,0
584,0
24,0
1521,0
1893,0
1466,0
816,0
23,0
409,0
1742,0
1433,0
1178,0
202,0
1322,0
452,0
1018,0
889,0
305,0
1575,0
640,0
46,0
1240,0
793,0
164,0
1975,0
1368,0
1767,0
1268,0
1790,0
1935,0
343,0
1083,0
167,0
1330,0
604,0
535,372
1672,372
872,0
598,0
1505,372
902,0
736,0
954,0
107,0
840,0
1941,0
1549,306
195,0
1408,0
938,0
44,0
1531,0
1290,0
1294,0
1452,0
217,0
1961,0
520,0
1577,0
1128,0
722,0
1994,0
402,0
410,0
716,0
91,0
1238,0
1853,0
1877,0
1997,0
649,0
1431,0
963,0
1781,0
338,0
1063,0
1596,0
1607,0
279,0
1193,0
960,0
1379,0
135,0
73,0
1579,0
14,324
1207,372
349,324
731,372
20,372
1973,0
1898,372
1769,371
29,373
629,373
1143,0
33,372
34,324
92,324
322,324
1705,324
36,353
1620,353
37,374
992,374
382,0
43,303
387,303
890,303
1974,303
347,303
1041,303
1597,303
1914,303
1964,303
1749,303
1527,303
363,303
1136,303
1548,375
667,0
50,354
1892,354
750,354
2002,354
53,305
1372,376
732,305
1985,376
2003,305
561,376
55,345
690,345
701,345
154,0
1079,0
1918,0
332,0
65,355
221,355
848,355
70,352
1711,352
74,372
176,0
75,345
247,345
79,306
1158,306
1376,306
1305,306
429,306
990,306
245,306
1057,306
1392,306
1423,306
83,324
1766,0
361,324
534,324
89,371
478,0
712,0
866,0
90,303
1689,303
150,377
95,325
737,345
183,325
238,345
652,345
1902,345
964,0
1276,0
103,0
449,0
462,356
1753,378
1546,379
1279,378
619,372
898,379
104,356
1051,356
108,0
1815,0
682,372
110,305
1951,306
1972,305
1792,305
188,305
1871,305
668,305
377,305
513,305
1325,305
116,370
1134,0
915,0
1381,370
795,0
627,0
1673,0
422,0
120,356
2026,345
666,356
121,380
1922,380
124,381
1580,381
694,381
131,382
1993,382
894,356
139,357
448,357
141,346
891,346
278,346
1905,306
292,346
145,345
1784,345
1035,383
147,384
828,324
149,385
306,385
152,372
823,372
1739,372
153,305
401,305
1087,305
982,345
157,386
832,386
2000,0
165,324
1562,324
917,324
538,324
181,387
755,387
190,303
1802,303
487,303
194,388
196,389
1891,389
1676,389
1829,356
1425,356
1409,356
703,356
1726,324
1949,356
344,372
602,324
831,324
944,372
203,390
204,388
209,324
1424,372
1197,372
1857,372
220,391
232,392
833,392
1750,0
903,0
244,306
1157,358
997,306
727,306
729,357
1388,345
252,345
1186,345
465,345
464,0
260,345
264,372
1522,0
486,393
281,394
1124,394
294,375
296,378
983,378
1696,378
311,395
1683,395
318,345
325,396
1055,396
326,397
908,397
439,372
442,345
865,345
1243,398
794,378
525,399
357,358
571,358
782,303
508,303
515,303
1992,303
371,391
374,372
1060,372
384,371
665,371
385,306
386,399
1498,399
962,352
403,303
1154,303
733,303
1102,303
1666,303
1404,303
957,303
2024,303
1444,303
1029,303
2010,372
424,400
1038,400
428,378
1252,378
1980,306
433,0
1226,401
1855,401
435,372
1123,357
766,357
1648,356
1812,357
1880,393
1191,356
2011,356
1398,372
458,372
461,372
1800,372
1119,0
469,402
97,402
475,357
854,357
479,357
807,357
491,324
852,324
1959,372
1275,372
512,386
523,403
1932,403
546,357
1194,306
568,356
575,404
1535,404
583,324
585,405
1643,405
586,398
588,356
60,356
625,384
626,372
630,406
1511,406
632,407
1148,407
635,408
327,408
657,409
1414,409
664,353
670,410
830,410
696,411
518,411
717,377
734,375
389,378
803,412
417,412
818,346
1779,346
827,372
1133,324
873,353
1023,353
881,306
1593,306
896,358
1069,358
897,413
300,413
904,345
1649,345
1690,345
1555,345
923,355
929,414
1389,414
937,415
1879,415
942,372
977,0
987,305
989,416
1434,416
1004,417
1034,417
1033,418
501,418
1068,303
1088,417
1090,419
1112,357
1837,357
1843,372
1651,371
1150,372
1211,383
1233,419
1747,404
1693,420
1357,421
797,421
1365,373
1772,357
1700,420
1412,422
1071,422
1730,371
1443,306
1472,423
591,423
1478,346
1479,404
1502,404
1491,424
1684,424
1492,418
1499,357
1504,372
1507,303
1509,0
1519,425
1917,425
1524,426
1237,426
1537,427
541,427
1637,372
1679,390
1688,390
1762,417
21,371
1787,428
601,428
1804,429
3,429
1810,393
1814,430
337,430
1856,380
1886,378
779,378
1906,378
1900,303
1923,431
224,431
1926,0
1929,372
1938,352
1991,372
2015,356
