node_id,value
0,1.83333
391,1.83333
1945,1.83333
1698,1.83333
2,2
411,40.3212
1873,40.3212
10,1
868,40.3211
1439,40.3212
826,40.3212
11,40.3212
1962,40.3212
1585,40.3212
456,40.3212
1668,40.3212
1791,40.3212
1257,40.3212
510,40.3212
1628,40.3211
573,40.3212
2005,40.3212
119,40.3212
1618,40.3211
277,40.3211
1429,40.3212
689,40.3212
418,40.3212
979,40.3212
557,40.3212
555,40.3212
1401,40.3212
1838,40.3212
1190,40.3212
242,38
265,40.3212
1669,40.3212
1717,40.3212
118,40.3211
1080,40.3212
63,40.3212
1844,40.3212
1875,5
1010,40.3212
1277,40.3212
1072,40.3212
1213,40.3211
1286,40.3211
315,0.875011
1485,40.3211
1662,40.3212
1099,38
1832,40.3212
1586,40.3212
13,40.3212
998,40.3212
1986,40.3212
328,40.3212
851,40.3212
271,40.3212
1500,40.3212
216,40.3212
584,40.3212
24,40.3212
1521,40.3212
1893,40.3212
1466,40.3212
816,40.3212
23,40.3212
409,40.3212
1742,40.3212
1433,40.3212
1178,40.3212
202,40.3212
1322,40.3212
452,40.3212
1018,40.3212
889,40.3212
305,40.3212
1575,40.3212
640,40.3212
46,40.3212
1240,40.3212
793,40.3212
164,40.3212
1975,40.3212
1368,40.3212
1767,40.3211
1268,40.3213
1660,6
1790,40.3213
1935,40.3213
343,40.3213
1083,40.3213
167,40.3213
1330,40.3213
604,40.3213
535,1.3638
1672,1
872,40.3213
598,40.3213
1505,1
902,40.3213
736,40.3213
954,40.3213
107,40.3213
840,40.3213
1941,40.3213
1549,5.14287
195,40.3213
1408,40.3213
938,40.3213
44,40.3213
1531,40.3213
1290,40.3213
1294,40.3213
1452,40.3213
217,40.3213
1961,40.3211
520,40.3213
1577,40.3213
1128,40.3213
722,40.3213
1994,40.3213
402,40.3213
410,40.3212
716,40.3213
91,40.3213
1238,40.3213
1853,40.3213
1877,40.3212
1997,40.3213
649,40.3213
1431,40.3213
963,40.3213
1781,40.3213
338,40.3213
1063,40.3213
1596,40.3213
1607,40.3213
279,40.3213
1193,40.3213
960,40.3213
1379,40.3213
135,40.3213
73,40.3213
1579,40.3213
14,3.68184
1207,1.33333
349,3.68182
731,1.36352
20,1
1973,40.3213
1898,1.36375
22,1
1769,0.874997
25,1
29,0.666667
629,0.666667
30,2
1143,40.3212
33,1.36379
34,3.68184
92,3.68184
322,3.68184
1705,3.68183
36,2
1620,2
37,0.5
992,0.5
38,9
382,40.3211
41,1
43,13.8571
387,13.8571
890,13.8571
1974,13.8571
347,13.8571
1041,13.8571
1597,13.8571
1914,13.8571
1964,13.8571
1749,13.8571
1527,13.8571
363,13.8571
1136,13.8571
1548,0.666667
667,40.3211
1109,7
50,1.5
1892,1.5
750,1.5
2002,1.5
53,9.5
1372,1
732,9.5
1985,1
2003,9.5
561,1
55,2.542
690,2.54161
701,2.5
56,1
59,1
154,40.3212
1079,40.3212
1918,40.3211
332,40.3212
65,1.5
221,1.5
848,1.5
70,1.5
1711,1.5
74,1
176,40.0008
75,2.54143
247,2.5414
79,5.14286
1158,5.14286
1376,5.14285
1305,5.14285
429,5.14283
990,5.14287
245,5.14286
1057,5.14287
1392,5.14287
1423,5.14285
83,3.6818
1996,3
1766,40.3212
361,3.68178
534,3.6818
89,0.875005
478,40.3212
712,40.3211
866,40.3211
90,13.8571
1689,13.8571
150,0.5
95,3.5
737,2.54206
183,3.5
238,2.54206
652,2.54206
1902,2.54206
964,40.3211
96,2
1276,40.3211
103,40.3212
449,40.3211
462,1.5
863,1
1753,1
1546,0.5
1279,1
619,1.36348
898,0.5
104,2.14286
1051,2.14286
108,39.9992
1815,40.3211
682,1
110,9.5
1951,5.14287
1972,9.5
1792,9.5
188,9.5
1871,9.5
668,9.5
377,9.5
513,9.5
1325,9.5
116,1
1134,40.3211
915,40.3212
1381,1
795,40.3211
627,40.3211
1673,40.3212
422,40.3211
120,1.5
2026,2.54153
666,1.5
121,1
1922,1
124,1
1580,1
694,1
131,0.5
1993,0.5
894,1.6
139,1.625
448,1.625
141,3
891,3
278,3
1905,5.14285
292,3
145,2.54163
1784,2.54165
1035,0.5
147,0.5
148,1
828,3.6818
149,0.5
306,0.5
152,1.36351
823,1.36359
1739,1.36347
153,9.5
401,9.5
1087,9.5
982,2.54155
551,2
157,0.666667
832,0.666667
2000,40.3212
165,3.68179
1562,3.6818
917,3.68179
538,3.68179
173,3
181,0.5
755,0.5
185,1
186,1
187,1
190,13.8571
1802,13.8571
487,13.8571
194,0.5
196,0.666667
1891,0.666667
1676,0.666667
1829,2.14286
1425,2
1409,2.14286
703,2.14286
1726,3.68179
1949,2.14286
344,1
602,3.68186
831,3.68186
944,1
1323,3
686,2
203,0.666667
204,0.5
206,1
209,3.68179
211,1
1424,1
1197,1.3638
1857,1
220,0.5
226,1
228,1
232,0.5
833,0.5
241,1
1750,40.3212
903,40.3212
244,5.14287
1157,2
997,5.14287
727,5.14287
824,1
246,1
729,1.625
1388,2.5414
252,2.5414
1186,2.54142
465,2.54142
256,19
464,40.3212
260,2.54155
264,1
1522,40.3212
486,0.666667
281,0.5
1124,0.5
289,6
290,1
291,1
294,0.666667
296,1.28571
983,1.28571
1696,1.28571
301,2
311,0.5
1683,0.5
312,1
318,2.54206
325,0.5
1055,0.5
326,0.5
908,0.5
439,1
442,2.54155
865,2.54155
342,1
1243,0.5
794,1
1538,1
525,1
351,1
357,2
571,2
782,13.8571
508,13.8571
515,13.8571
1992,13.8571
371,0.5
374,1.33333
1060,1.24999
384,0.875
665,0.874995
385,5.14285
386,1
1498,1
962,1.83333
399,1
403,13.8571
1154,13.8571
733,13.8571
1102,13.8571
1666,13.8571
1404,13.8571
957,13.8571
2024,13.8571
1444,13.8571
1029,13.8571
1806,8
2010,1.33334
1910,1
413,1
419,2
424,0.5
1038,0.5
428,1
1252,1
1980,5.14283
433,40.3211
1226,0.5
1855,0.5
435,1.25
441,1
1123,1.625
766,1.625
1648,2
1812,1.625
1880,0.666667
1191,1.6
2011,2.14286
1955,1
368,1
358,2
1954,1
423,1
1716,1
1022,1
177,1
454,1
1398,1
458,1.33333
461,1.25
1800,1.25
1119,40.3212
1364,1
1371,1
469,0.5
97,0.5
475,1.5
854,1.5
479,2
807,2
491,3.68186
852,3.68185
507,3
1959,1
862,3
1275,1
512,0.666667
517,1
523,0.5
1932,0.5
546,2
1194,5.14283
568,1.5
575,0.8
1535,0.8
578,1
579,2
580,1
583,3.68179
210,1
1638,1
585,0.5
1643,0.5
586,0.5
588,1.6
60,1.6
593,1
1302,2
1130,1
614,2
615,2
616,1
625,0.5
626,1
552,2
630,0.5
1511,0.5
632,0.5
1148,0.5
635,0.5
327,0.5
657,0.5
1414,0.5
658,2
664,2
670,0.5
830,0.5
685,1
696,0.5
518,0.5
697,1
710,2
717,0.5
724,6
730,1
734,0.666667
749,1
756,1
757,1
767,1
769,1
770,1
805,4
389,1.28571
798,1
803,0.5
417,0.5
815,1
818,3
1779,3
819,1
827,1
844,1
1133,3.68184
859,1
577,1
873,2
1023,2
880,1
881,5
1593,5.14284
883,1
1600,1
895,1
896,2
1069,2
897,0.5
300,0.5
904,2.54165
1649,2.54165
1690,2.54163
1555,2.54165
905,1
923,1.5
927,3
929,0.5
1389,0.5
930,1
932,1
937,0.5
1879,0.5
942,1.33333
965,1
977,40.3211
987,9.5
989,0.5
1434,0.5
991,1
1001,1
1004,1
1034,1
1013,1
1017,1
1033,0.666667
501,0.666667
1061,1
1066,1
1068,13.8571
1070,1
1082,1
1088,1
1090,0.5
1112,2
1837,2
1113,1
1131,1
655,3
1843,1.36382
1651,0.874991
1150,1.33333
2022,4
1822,3
1185,1
1188,1
1192,1
1202,1
1211,0.5
1217,1
1223,1
1227,1
1230,1
1231,1
1233,0.5
1254,1
365,2
1807,1
54,2
1095,1
1747,0.8
1977,1
1854,3
1610,1
1287,2
1304,1
1693,0.5
1308,8
1328,1
1331,1
1348,1
1357,0.5
797,0.5
1360,1
1362,1
1365,0.666667
1772,1.625
1700,0.5
1382,1
1386,5
1406,1
1412,0.5
1071,0.5
1418,1
1420,1
1730,0.875011
1564,1
1353,1
1987,1
1443,5.14283
1456,3
1472,0.5
591,0.5
1478,3
1479,0.8
1851,1.5
1502,0.8
1487,1
1491,0.5
1684,0.5
1492,0.666667
1494,2
1499,1.625
1504,1
1507,13.8571
1508,1
1509,40.3212
1519,0.5
1917,0.5
1523,2
1524,0.5
1237,0.5
1525,1
1532,1
1537,0.5
541,0.5
1540,1
1912,1
1550,1
1553,2
1569,1
1609,1
1624,6
440,1
1761,1
1633,2
1637,1.36347
1644,1
1645,1
1273,1
1968,1
1259,1
1430,1
1447,1
1825,1
1397,1
1234,1
1848,1
1224,1
867,1
643,1
1642,1
1003,1
198,1
611,1
1474,1
1720,1
1175,1
1159,1
673,1
1529,1
1950,1
324,1
316,1
2014,1
485,1
984,1
2021,1
661,1
1782,1
1495,1
6,1
751,1
790,1
1733,1
51,1
1288,1
313,1
1390,1
596,1
379,1
1916,1
412,1
1897,1
721,1
447,1
524,1
1805,1
8,1
320,1
1506,1
748,1
1374,1
26,1
633,1
1170,1
140,1
1823,1
48,1
1292,1
1125,1
1437,1
651,1
1263,1
536,1
415,1
1858,1
2016,1
2028,1
253,1
1436,1
812,1
1369,1
1831,1
1817,2
610,1
476,1
741,1
1821,1
293,1
1533,1
1030,1
1074,1
1563,1
1295,1
1284,2
310,1
1315,1
1337,1
1355,1
88,1
45,1
1942,1
1605,1
1849,1
1835,1
383,1
1904,1
599,1
1567,1
1834,1
503,1
1764,1
1454,1
367,1
622,1
1027,1
529,1
1729,1
1497,1
263,1
885,1
15,1
170,1
1592,1
1695,1
1984,1
1278,1
949,1
122,1
966,1
1246,1
1632,1
1171,1
1803,1
254,1
1678,1
1679,0.666667
1687,1
1688,0.666667
1745,1
1741,1
282,1
1712,1
1714,1
1715,1
1718,1
1725,1
1731,1
1755,3
1762,1
1765,1
1046,2
1911,2
1768,1
21,0.874991
1787,0.5
601,0.5
1793,1
1804,0.5
3,0.5
1810,0.666667
1814,0.5
337,0.5
1816,1
1828,1
1830,1
1833,1
1939,1
1856,1
653,1
972,1
1019,1
1199,1
1319,1
1661,1
1335,1
27,1
1179,1
381,1
613,1
1008,1
1614,1
700,1
1438,1
218,1
1556,1
2007,2
564,1
691,1
336,1
558,1
1471,1
1486,1
1014,1
671,1
450,1
723,1
1777,1
638,1
1152,1
1228,1
663,1
1282,1
1285,1
1089,1
1737,1
528,1
1886,1.28571
779,1.28571
1906,1.28571
1900,13.8571
1913,1
1923,0.5
224,0.5
1924,1
1926,40.3213
1929,1
1938,1.83333
1989,1
