node_id,value
0,2.12682
391,2.12723
1945,2.12723
1698,2.12723
2,2
411,40.3212
1873,40.3212
10,37
868,40.3211
1439,40.3212
826,40.3212
11,40.3212
1962,40.3212
1585,40.3212
456,40.3212
1668,40.3212
1791,40.3212
1257,40.3212
510,40.3212
1628,40.3211
573,40.3212
2005,40.3212
119,40.3212
1618,40.3211
277,40.3211
1429,40.3212
689,40.3212
418,40.3212
979,40.3212
557,40.3212
555,40.3212
1401,40.3212
1838,40.3212
1190,40.3212
242,38
265,40.3212
1669,40.3212
1717,40.3212
118,40.3211
1080,40.3212
63,40.3212
1844,40.3212
1875,39.0018
1010,40.3212
1277,40.3212
1072,40.3212
1213,40.3211
1286,40.3211
315,38.9982
1485,40.3211
1662,40.3212
1099,38
1832,40.3212
1586,40.3212
13,40.3212
998,40.3212
1986,40.3212
328,40.3212
851,40.3212
271,40.3212
1500,40.3212
216,40.3212
584,40.3212
24,40.3212
1521,40.3212
1893,40.3212
1466,40.3212
816,40.3212
23,40.3212
409,40.3212
1742,40.3212
1433,40.3212
1178,40.3212
202,40.3212
1322,40.3212
452,40.3212
1018,40.3212
889,40.3212
305,40.3212
1575,40.3212
640,40.3212
46,40.3212
1240,40.3212
793,40.3212
164,40.3212
1975,40.3212
1368,40.3212
1767,40.3211
1268,40.3213
1660,6
1790,40.3213
1935,40.3213
343,40.3213
1083,40.3213
167,40.3213
1330,40.3213
604,40.3213
535,11
1672,6
872,40.3213
598,40.3213
1505,7
902,40.3213
736,40.3213
954,40.3213
107,40.3213
840,40.3213
1941,40.3213
1549,15
195,40.3213
1408,40.3213
938,40.3213
44,40.3213
1531,40.3213
1290,40.3213
1294,40.3213
1452,40.3213
217,40.3213
1961,40.3211
520,40.3213
1577,40.3213
1128,40.3213
722,40.3213
1994,40.3213
402,40.3213
410,40.3212
716,40.3213
91,40.3213
1238,40.3213
1853,40.3213
1877,40.3212
1997,40.3213
649,40.3213
1431,40.3213
963,40.3213
1781,40.3213
338,40.3213
1063,40.3213
1596,40.3213
1607,40.3213
279,40.3213
1193,40.3213
960,40.3213
1379,40.3213
135,40.3213
73,40.3213
1579,40.3213
14,7.67091
1207,5
349,19.0002
731,12
20,12
1973,40.3213
1898,26
22,1
1769,31
25,1
29,1
629,14
30,2
1143,40.3212
33,23.5004
34,6
92,8
322,6
1705,15.7839
36,2
1620,2
37,2
992,7.79564
38,9
382,40.3211
41,1
43,14.8571
387,14.8571
890,14.8571
1974,14.8571
347,14.8574
1041,14.8571
1597,14.8569
1914,14.8569
1964,14.8569
1749,14.8569
1527,14.8574
363,14.8569
1136,14.8569
1548,10
667,40.3211
1109,7
50,1.5
1892,1.5
750,1.5
2002,1.5
