node_id,cluster_id
0,11
391,11
1945,11
1698,11
411,0
1873,0
10,1
868,0
1439,0
826,0
11,0
1962,0
1585,0
456,0
1668,0
1791,0
1257,0
510,0
1628,0
573,0
2005,0
119,0
1618,0
277,0
1429,0
689,0
418,0
979,0
557,0
555,0
1401,0
1838,0
1190,0
265,0
1669,0
1717,0
118,0
1080,0
63,0
1844,0
1875,2
1010,0
1277,0
1072,0
1213,0
1286,0
315,2
1485,0
1662,0
1832,0
1586,0
13,0
998,0
1986,0
328,0
851,0
271,0
1500,0
216,0
584,0
24,0
1521,0
1893,0
1466,0
816,0
23,0
409,0
1742,0
1433,0
1178,0
202,0
1322,0
452,0
1018,0
889,0
305,0
1575,0
640,0
46,0
1240,0
793,0
164,0
1975,0
1368,0
1767,0
1268,0
1790,0
1935,0
343,0
1083,0
167,0
1330,0
604,0
535,12
1672,12
872,0
598,0
902,0
736,0
954,0
107,0
840,0
1941,0
1549,6
195,0
1408,0
938,0
44,0
1531,0
1290,0
1294,0
1452,0
217,0
1961,0
520,0
1577,0
1128,0
722,0
1994,0
402,0
410,0
716,0
91,0
1238,0
1853,0
1877,0
1997,0
649,0
1431,0
963,0
1781,0
338,0
1063,0
1596,0
1607,0
279,0
1193,0
960,0
1379,0
135,0
73,0
1579,0
14,13
1207,13
349,7
731,7
20,7
1973,0
1898,7
1769,7
629,6
1143,0
33,7
34,13
92,13
322,13
1705,7
36,14
1620,14
37,15
992,15
382,0
43,8
387,8
890,8
1974,8
347,8
1041,8
1597,8
1914,8
1964,8
1749,8
1527,8
363,8
1136,8
1548,16
667,0
50,17
1892,17
750,17
2002,17
53,15
1372,15
732,15
1985,15
2003,15
561,15
55,18
690,6
701,6
154,0
1079,0
1918,0
332,0
65,15
221,15
848,15
70,11
1711,11
176,3
75,15
247,15
79,15
1158,15
1376,15
1305,15
429,15
990,15
245,15
1057,15
1392,15
1423,15
83,7
1766,0
361,7
534,7
89,2
478,0
712,0
866,0
90,8
1689,8
150,7
95,7
737,18
183,18
238,18
652,18
1902,18
964,0
1276,0
103,0
449,0
462,4
863,4
1753,13
1546,9
1279,13
619,15
898,9
104,6
1051,5
108,3
1815,0
682,7
110,15
1951,15
1972,15
1792,15
188,15
1871,15
668,15
377,15
513,15
1325,15
116,1
1134,0
915,0
1381,1
795,0
627,0
1673,0
422,0
120,6
2026,6
121,19
1922,19
124,20
1580,20
694,20
131,21
1993,21
894,6
139,15
448,15
141,15
891,15
278,15
1905,6
292,15
145,22
1784,22
1035,22
147,23
828,7
149,24
306,24
152,7
823,7
1739,15
153,15
401,15
1087,15
982,6
157,25
832,25
2000,0
165,26
1562,7
917,26
538,5
181,27
755,27
190,8
1802,8
487,8
194,28
196,29
1891,29
1676,29
1829,5
1425,7
1409,6
703,6
1949,10
344,13
602,13
831,13
944,13
203,30
204,28
209,7
1197,7
220,31
232,32
833,32
1750,0
903,0
244,15
1157,15
997,15
727,15
824,15
729,15
1388,15
252,15
1186,15
465,15
464,0
260,6
264,12
1522,0
486,15
281,33
1124,33
294,16
296,13
983,13
1696,13
311,34
1683,34
318,18
325,35
1055,35
326,36
908,36
439,37
442,38
865,38
1243,39
794,13
525,40
357,15
571,15
782,8
508,8
515,8
1992,8
371,31
374,13
1060,13
384,2
665,2
385,15
386,40
1498,40
962,11
403,8
1154,8
733,8
1102,8
1666,8
1404,8
957,8
2024,8
1444,8
1029,8
2010,7
424,41
1038,41
428,13
1252,13
1980,15
433,0
1226,6
1855,6
435,13
1123,15
766,15
1812,15
1880,15
1191,42
2011,10
1955,15
423,43
458,13
461,13
1800,13
1119,0
1364,15
1371,15
469,44
97,44
475,15
854,15
479,15
807,15
491,13
852,13
507,15
512,25
523,45
1932,45
546,15
1194,15
568,43
575,15
1535,15
583,26
585,46
1643,46
586,39
588,47
60,47
1302,13
1130,13
615,15
625,23
630,48
1511,48
632,15
1148,15
635,49
327,49
657,50
1414,50
664,14
670,51
830,51
696,52
518,52
734,16
389,13
803,53
417,53
818,15
1779,15
1133,13
873,14
1023,14
881,15
1593,15
883,15
1600,15
896,15
1069,15
897,54
300,54
904,22
1649,22
1690,22
1555,22
923,15
929,55
1389,55
937,15
1879,15
942,15
977,0
987,15
989,56
1434,56
1004,57
1034,57
1033,58
501,58
1068,8
1088,57
1090,15
1112,15
1837,15
1843,12
1150,7
2022,15
1211,22
1231,15
1233,15
1747,15
1610,15
1287,15
1693,15
1348,15
1357,59
797,59
1772,15
1700,15
1412,60
1071,60
1420,42
1730,7
1443,15
1472,61
591,61
1478,15
1479,15
1851,15
1502,15
1491,62
1684,62
1492,58
1499,15
1504,13
1507,8
1509,0
1519,15
1917,15
1524,63
1237,63
1537,64
541,64
1637,15
1679,30
1688,30
1762,57
1911,13
1768,15
1787,65
601,65
1804,66
3,66
1810,15
1814,67
337,67
1830,15
1833,15
1856,19
1886,13
779,13
1906,13
1900,8
1923,68
224,68
1926,0
1929,37
1938,11
2015,47
