node_id,value
0,11.511
391,11.511
1945,11.511
1698,11.511
2,11.511
411,40.3212
1873,40.3212
10,40.0604
868,40.3212
1439,40.3212
826,40.3212
11,40.3212
1962,40.3212
1585,40.3212
456,40.3212
1668,40.3212
1791,40.3212
1257,40.3212
510,40.3212
1628,40.3212
573,40.3212
2005,40.3212
119,40.3212
1618,40.3212
277,40.3212
1429,40.3212
689,40.3212
418,40.3212
979,40.3212
557,40.3212
555,40.3212
1401,40.3212
1838,40.3212
1190,40.3212
242,40.0604
265,40.3212
1669,40.3212
1717,40.3212
118,40.3212
1080,40.3212
63,40.3212
1844,40.3212
1875,40.0604
1010,40.3212
1277,40.3212
1072,40.3212
1213,40.3212
1286,40.3212
315,40.0604
1485,40.3212
1662,40.3212
1099,40.0604
1832,40.3212
1586,40.3212
13,40.3212
998,40.3212
1986,40.3212
328,40.3212
851,40.3212
271,40.3212
1500,40.3212
216,40.3212
584,40.3212
24,40.3212
1521,40.3212
1893,40.3212
1466,40.3212
816,40.3212
23,40.3212
409,40.3212
1742,40.3212
1433,40.3212
1178,40.3212
202,40.3212
1322,40.3212
452,40.3212
1018,40.3212
889,40.3212
305,40.3212
1575,40.3212
640,40.3212
46,40.3212
1240,40.3212
793,40.3212
164,40.3212
1975,40.3212
1368,40.3212
1767,40.3212
1268,40.3212
1660,11.511
1790,40.3212
1935,40.3212
343,40.3212
1083,40.3212
167,40.3212
1330,40.3212
604,40.3212
535,11.511
1672,11.511
872,40.3212
598,40.3212
1505,11.511
902,40.3212
736,40.3212
954,40.3212
107,40.3212
840,40.3212
1941,40.3212
1549,33.1954
195,40.3212
1408,40.3212
938,40.3212
44,40.3212
1531,40.3212
1290,40.3212
1294,40.3212
1452,40.3212
217,40.3212
1961,40.3212
520,40.3212
1577,40.3212
1128,40.3212
722,40.3212
1994,40.3212
402,40.3212
410,40.3212
716,40.3212
91,40.3212
1238,40.3212
1853,40.3212
1877,40.3212
1997,40.3212
649,40.3212
1431,40.3212
963,40.3212
1781,40.3212
338,40.3212
1063,40.3212
1596,40.3212
1607,40.3212
279,40.3212
1193,40.3212
960,40.3212
1379,40.3212
135,40.3212
73,40.3212
1579,40.3212
14,11.511
1207,11.511
349,33.1954
731,33.1954
20,33.1954
1973,40.3212
1898,33.1954
22,11.511
1769,33.1954
25,11.511
29,11.511
629,33.1954
30,11.511
1143,40.3212
33,33.1954
34,11.511
92,11.511
322,11.511
1705,33.1954
36,11.511
1620,11.511
37,11.511
992,11.511
38,11.511
382,40.3212
41,11.511
43,33.1954
387,33.1954
890,33.1954
1974,33.1954
347,33.1954
1041,33.1954
1597,33.1954
1914,33.1954
1964,33.1954
1749,33.1954
1527,33.1954
363,33.1954
1136,33.1954
1548,11.511
667,40.3212
1109,11.511
50,11.511
1892,11.511
750,11.511
2002,11.511
53,11.511
1372,11.511
732,11.511
1985,11.511
2003,11.511
561,11.511
55,11.511
690,33.1954
701,33.1954
56,11.511
59,11.511
154,40.3212
1079,40.3212
1918,40.3212
332,40.3212
65,11.511
221,11.511
848,11.511
70,11.511
1711,11.511
74,11.511
176,40.0604
75,11.511
247,11.511
79,11.511
1158,11.511
1376,11.511
1305,11.511
429,11.511
990,11.511
245,11.511
1057,11.511
1392,11.511
1423,11.511
83,33.1954
1996,11.511
1766,40.3212
361,33.1954
534,33.1954
89,40.0604
478,40.3212
712,40.3212
866,40.3212
90,33.1954
1689,33.1954
150,33.1954
95,33.1954
737,11.511
183,11.511
238,11.511
652,11.511
1902,11.511
964,40.3212
96,11.511
1276,40.3212
103,40.3212
449,40.3212
462,40.0604
863,40.0604
1753,11.511
1546,33.1954
1279,11.511
619,11.511
898,33.1954
104,33.1954
1051,40.0604
108,40.0604
1815,40.3212
682,33.1954
110,11.511
1951,11.511
1972,11.511
1792,11.511
188,11.511
1871,11.511
668,11.511
377,11.511
513,11.511
1325,11.511
116,40.0604
1134,40.3212
915,40.3212
1381,40.0604
795,40.3212
627,40.3212
1673,40.3212
422,40.3212
120,33.1954
2026,33.1954
666,11.511
121,11.511
1922,11.511
124,11.511
1580,11.511
694,11.511
131,11.511
1993,11.511
894,33.1954
139,11.511
448,11.511
141,11.511
891,11.511
278,11.511
1905,33.1954
292,11.511
145,11.511
1784,11.511
1035,11.511
147,11.511
148,11.511
828,33.1954
149,11.511
306,11.511
152,33.1954
823,33.1954
1739,11.511
153,11.511
401,11.511
1087,11.511
982,33.1954
551,11.511
157,11.511
832,11.511
2000,40.3212
165,11.511
1562,33.1954
917,11.511
538,40.0604
173,11.511
181,11.511
755,11.511
185,11.511
186,11.511
187,11.511
190,33.1954
1802,33.1954
487,33.1954
194,11.511
196,11.511
1891,11.511
1676,11.511
1829,40.0604
1425,33.1954
1409,33.1954
703,33.1954
1726,11.511
1949,33.1954
344,11.511
602,11.511
831,11.511
944,11.511
1323,11.511
686,11.511
203,11.511
204,11.511
206,11.511
209,33.1954
211,11.511
1424,11.511
